"Show","Sold","Ranking","Size","Title","Description","Specs","Original Price","Price","Year","Main Picture","Media Gallery","Bikes (Item)","Background","Foreground","ID","Created Date","Updated Date","Owner"
true,true,32,,"Specialized Stumpjumper Expert","Sold",,,,,"wix:image://v1/8a12d8_29ab3d29fc1b48e786991eb7383d336e~mv2.jpg/PXL_20220716_024842527~2.jpg#originWidth=2208&originHeight=1478",,"/bikes/specialized-stumpjumper-expert",,,"06515b47-c704-4457-b7ac-566b0601240f",2025-12-17T17:52:46Z,2025-12-23T16:15:12Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
true,,20,,"Fuji Altamira LTD Team Edition","If you’re looking for a bike with some serious ""pro peloton"" soul without the boring, cookie-cutter look, this Fuji Altamira LTD is it. This isn't the watered-down replica; it’s the elite Team Edition, the same frame that actually won the Vuelta a España. The standout feature is the Integrated Seat Post (ISP), which looks incredibly slick and makes the bike feel like a total rocket ship.

Tipping the scales at under 15 lbs (~14.5 lbs!), this thing is stupidly light, making climbs feel like less of a chore and handling corners like it’s on rails. This is for the rider who wants a fast, head-turning machine that feels ""pro"" but doesn't take itself too seriously. It’s a piece of racing history that’s still more than ready to hunt for PRs on your local weekend group ride.","<ul class=""font_8"">
  <li><p class=""font_8""><strong>Size:</strong> Small (I'm 5' 8"")</p></li>
  <li><p class=""font_8""><strong>Frame:</strong> Fuji Altamira Carbon, Team Edition, 2022</p></li>
  <li><p class=""font_8""><strong>Fork:</strong> Fuji Carbon Road Fork</p></li>
  <li><p class=""font_8""><strong>Groupset:</strong> SRAM Force</p></li>
  <li><p class=""font_8""><strong>Shifters:</strong> SRAM Force</p></li>
  <li><p class=""font_8""><strong>Front Derailleur:</strong> SRAM Force</p></li>
  <li><p class=""font_8""><strong>Rear Derailleur:</strong> SRAM Force</p></li>
  <li><p class=""font_8""><strong>Crankset:</strong> SRAM Force</p></li>
  <li><p class=""font_8""><strong>Cassette:</strong> SRAM Force</p></li>
  <li><p class=""font_8""><strong>Brakes:</strong> SRAM Force Hydraulic Disc Brakes</p></li>
  <li><p class=""font_8""><strong>Wheelset:</strong> Reynolds Solitude</p></li>
  <li><p class=""font_8""><strong>Tires:</strong> Road tires, set up and ready to ride</p></li>
  <li><p class=""font_8""><strong>Handlebars:</strong> Carbon Bars</p></li>
  <li><p class=""font_8""><strong>Stem:</strong> Alloy Stem</p></li>
  <li><p class=""font_8""><strong>Seatpost:</strong> Carbon Seatpost</p></li>
  <li><p class=""font_8""><strong>Saddle:</strong> Performance Road Saddle</p></li>
  <li><p class=""font_8""><strong>Cable Routing:</strong> Internal</p></li>
  <li><p class=""font_8""><strong>Condition:</strong> Excellent</p></li>
  <li><p class=""font_8""><strong>Finish:</strong> Team Edition Colorway</p></li>
</ul>","$4,800","$1,250","2012","wix:image://v1/8a12d8_eebf98bc602045d2b356aa9569234da0~mv2.jpg/PXL_20251217_153621871.MP.jpg#originWidth=4080&originHeight=3072","[{""description"":"""",""fileName"":""PXL_20251217_153621871.MP.jpg"",""slug"":""8a12d8_eebf98bc602045d2b356aa9569234da0~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_eebf98bc602045d2b356aa9569234da0~mv2.jpg/PXL_20251217_153621871.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153621871.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153712734.MP.jpg"",""slug"":""8a12d8_1e12d140532f441c86518451986805f6~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_1e12d140532f441c86518451986805f6~mv2.jpg/PXL_20251217_153712734.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153712734.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153734352.MP.jpg"",""slug"":""8a12d8_fd25ebe291244521ba04331f6e51702d~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_fd25ebe291244521ba04331f6e51702d~mv2.jpg/PXL_20251217_153734352.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153734352.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153819484.MP.jpg"",""slug"":""8a12d8_960cf79a88d54e4f8a40138935f93928~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_960cf79a88d54e4f8a40138935f93928~mv2.jpg/PXL_20251217_153819484.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153819484.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153650146.MP.jpg"",""slug"":""8a12d8_92d87f2485314c29aff0e60e1555019a~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_92d87f2485314c29aff0e60e1555019a~mv2.jpg/PXL_20251217_153650146.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153650146.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153808257.MP.jpg"",""slug"":""8a12d8_589c890e818947eb9e9d0880e67095b5~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_589c890e818947eb9e9d0880e67095b5~mv2.jpg/PXL_20251217_153808257.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153808257.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153801748.MP.jpg"",""slug"":""8a12d8_463d62a1ddec49f99afa33013b5a67ef~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_463d62a1ddec49f99afa33013b5a67ef~mv2.jpg/PXL_20251217_153801748.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153801748.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153753388.MP.jpg"",""slug"":""8a12d8_f4e9b11c1e4a4d1eae1d2d257bc168bb~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_f4e9b11c1e4a4d1eae1d2d257bc168bb~mv2.jpg/PXL_20251217_153753388.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153753388.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153747820.MP.jpg"",""slug"":""8a12d8_2361d29409454f5fb54b648177f16270~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_2361d29409454f5fb54b648177f16270~mv2.jpg/PXL_20251217_153747820.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153747820.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153726289.MP.jpg"",""slug"":""8a12d8_1d69d812462046ca9bda9ab5c07051a2~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_1d69d812462046ca9bda9ab5c07051a2~mv2.jpg/PXL_20251217_153726289.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153726289.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153741307.MP.jpg"",""slug"":""8a12d8_c5472a9bcbbd4fe9bc1e11b20ba45de3~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_c5472a9bcbbd4fe9bc1e11b20ba45de3~mv2.jpg/PXL_20251217_153741307.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153741307.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153640475.MP.jpg"",""slug"":""8a12d8_223cdfdce8414f1d8685c8f95af41023~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_223cdfdce8414f1d8685c8f95af41023~mv2.jpg/PXL_20251217_153640475.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153640475.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""PXL_20251217_153658098.MP.jpg"",""slug"":""8a12d8_99c0c1f6ecc14866b15ee96d6207c8e7~mv2.jpg"",""alt"":"""",""src"":""wix:image://v1/8a12d8_99c0c1f6ecc14866b15ee96d6207c8e7~mv2.jpg/PXL_20251217_153658098.MP.jpg#originWidth=4080&originHeight=3072"",""title"":""PXL_20251217_153658098.MP.jpg"",""type"":""image"",""settings"":{""width"":4080,""height"":3072,""focalPoint"":[0.5,0.5]}}]","/bikes/fuji-altamira-ltd-team-edition","#000000","#BFF96D","1d714a98-1ebe-4bed-8c55-17da6ef3a9c3",2025-12-17T05:54:41Z,2025-12-17T23:17:04Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
true,true,22,,"Ibis Ripmo","Sold",,,,,"wix:image://v1/8a12d8_1fc312a8a5c943f894b2c3cf5b75bd82~mv2.jpg/PXL_20220714_190407973~2.jpg#originWidth=1963&originHeight=1478",,"/bikes/ibis-ripmo",,,"3132f6a0-bb96-4909-96fe-a1a6439ca125",2025-12-17T17:52:42Z,2025-12-23T16:15:12Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
true,true,44,,"Specialized Levo Comp Alloy","Sold",,,,,"wix:image://v1/8a12d8_41cc6d9f59264b258f04fa2364a9e9b0~mv2.jpg/IMG_20210905_093604.jpg#originWidth=2290&originHeight=1478",,"/bikes/specialized-levo-comp-alloy",,,"455c9099-588f-4b30-be2a-b0754d65fcce",2025-12-17T17:52:49Z,2025-12-23T16:15:12Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
true,true,42,,"Scott 16""","Sold",,,,,"wix:image://v1/8a12d8_02e1f86bb8664aa08839037d985a9fcf~mv2.jpg/PXL_20240829_011916685.MP.jpg#originWidth=1963&originHeight=1478",,"/bikes/scott-16%22",,,"4c6a337e-3956-4291-a2fa-fc51f81458cd",2025-12-17T17:52:49Z,2025-12-23T16:15:12Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
true,true,50,,"Specialized Levo Expert","Sold",,,,,"wix:image://v1/8a12d8_4804aaf720f64d9a970fc88660ffab98~mv2.jpg/IMG_20210423_153841.jpg#originWidth=1971&originHeight=1478",,"/bikes/specialized-levo-expert",,,"50aede3a-324f-4c46-893e-78b6f1ff4414",2025-12-17T17:54:21Z,2025-12-23T16:15:16Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
true,true,52,,"Specialized Kenevo Expert","Sold",,,,,"wix:image://v1/8a12d8_43ca14bbb52c425fb9ef43dcec4006ae~mv2.jpg/PXL_20220330_010139755~2.jpg#originWidth=2170&originHeight=1478",,"/bikes/specialized-kenevo-expert",,,"5ad452c2-f189-4151-81dd-52106e56d1cb",2025-12-17T17:54:22Z,2025-12-23T16:15:15Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
true,true,30,,"Specialized Levo Comp Carbon","Sold",,,,,"wix:image://v1/8a12d8_b9d2d6d79bff406aadf659a483a87ea1~mv2.jpg/PXL_20220814_010937811~2.jpg#originWidth=2363&originHeight=1478",,"/bikes/specialized-levo-comp-carbon",,,"630fb44f-cb55-4ae6-b74a-b2c247aa4f73",2025-12-17T17:52:45Z,2025-12-23T16:15:12Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
true,true,28,,"Specialized Rockhopper Expert","Sold",,,,,"wix:image://v1/8a12d8_2d958837dc67485597ec13bfc376937c~mv2.jpg/PXL_20220812_174949801~2.jpg#originWidth=2560&originHeight=1471",,"/bikes/specialized-rockhopper-expert",,,"66227f06-b622-45b1-80fa-fde983e7a192",2025-12-17T17:52:45Z,2025-12-23T16:15:12Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
true,true,24,,"Specialized Levo Comp Carbon","Sold",,,,,"wix:image://v1/8a12d8_1b40c29de9704486bddcb2785dfa93d1~mv2.jpg/PXL_20220715_204308634~2.jpg#originWidth=2241&originHeight=1478",,"/bikes/specialized-levo-comp-carbon",,,"7a6b0c55-a10e-456e-8ef5-f667b1e7a860",2025-12-17T17:52:43Z,2025-12-23T16:15:12Z,"8a12d8dd-2c4e-49da-b2ed-8ca36bafcd02"
